tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
56487,MLI,BUL,2011,X,2,X,2012,N/A,Mi-24D/Mi-25,AC,Combat helicopter,L,2,,2012,Mali,Bulgaria,S,3.3,6.6,6.6
58685,SEN,BUL,2014,X,8,X,2014,N/A,2B11 120mm,AR,Mortar,L,8,,2014,Senegal,Bulgaria,N,0.05,0.4,0.4
58396,TAJ,BUL,2013,X,15,X,2013,N/A,BM-21 Grad 122mm,AR,Self-propelled MRL,L,15,,2013,Tajikistan,Bulgaria,S,0.18,2.7,2.7
50764,XXX,BUL,2011,X,3,X,2013,N/A,L-39Z Albatros,AC,Trainer/combat ac,L,3,X,2013,Unknown country,Bulgaria,S,2,6,6
50763,XXX,BUL,2015,X,1,X,0,N/A,Mi-24D/Mi-25,AC,Combat helicopter,L,,,,Unknown country,Bulgaria,R,5.445,5.445,0
54306,AFG,CAN,2013,,20,,0,N/A,PT6,EN,Turboprop,L,,,,Afghanistan,Canada,N,0.6,12,0
37790,ALG,CAN,2004,,12,,2006,N/A,PW100,EN,Turboprop/turboshaft,L,12,X,2005-2006,Algeria,Canada,N,1,12,12
54343,ANG,CAN,2011,,6,X,2013,N/A,PT6,EN,Turboprop,L,6,X,2013,Angola,Canada,N,0.6,3.6,3.6
51919,ARG,CAN,2011,X,34,X,0,N/A,PT6,EN,Turboprop,L,,,,Argentina,Canada,N,0.6,20.4,0
59057,AUS,CAN,2015,X,49,X,0,N/A,PT6,EN,Turboprop,L,,,,Australia,Canada,N,0.6,29.4,0
53890,BF,CAN,2010,X,3,X,2011,N/A,PT6,EN,Turboprop,L,3,X,2011,Burkina Faso,Canada,N,0.6,1.8,1.8
53258,BOT,CAN,2011,,5,X,2013,N/A,PT6,EN,Turboprop,L,5,X,2013,Botswana,Canada,N,0.6,3,3
50384,BRA,CAN,2006,X,6,,2007,N/A,Model-56 105mm,AR,Towed gun,L,6,,2007,Brazil,Canada,S,0.18,1.08,1.08
37123,BRA,CAN,2001,X,99,X,2012,N/A,PT6,EN,Turboprop,L,99,X,2003-2012,Brazil,Canada,N,0.6,59.4,59.4
37793,BRA,CAN,2005,,24,X,2009,N/A,PW100,EN,Turboprop/turboshaft,L,24,X,2006-2009,Brazil,Canada,N,1,24,24
57428,BRA,CAN,2014,,6,,0,N/A,PW100,EN,Turboprop/turboshaft,L,,,,Brazil,Canada,N,1,6,0
58899,CAM,CAN,2011,,4,,2013,N/A,PW100,EN,Turboprop/turboshaft,L,4,X,2013,Cameroon,Canada,N,1,4,4
39442,CHA,CAN,2006,,1,,2006,N/A,PT6,EN,Turboprop,L,1,,2006,Chad,Canada,N,0.6,0.6,0.6
50131,CHE,CAN,2008,,12,X,2010,N/A,PT6,EN,Turboprop,L,12,X,2009-2010,Chile,Canada,N,0.6,7.2,7.2
40110,CHE,CAN,2007,,6,,2011,N/A,PW100,EN,Turboprop/turboshaft,L,6,,2010-2011,Chile,Canada,N,1,6,6
55384,CMB,CAN,2012,,4,X,2012,N/A,PW100,EN,Turboprop/turboshaft,L,4,X,2012,Cambodia,Canada,N,1,4,4
51734,COL,CAN,2009,,1,,2010,N/A,APS-504(V),GR,MP aircraft radar,L,1,,2010,Colombia,Canada,N,2.5,2.5,2.5
57432,COL,CAN,2014,,12,X,2014,POLI,Huron,AV,APC,,12,X,2014,Colombia,Canada,N,0.16,1.92,1.92
51572,COL,CAN,2013,,32,,2014,N/A,Piranha-3,AV,APC,L,32,X,2014,Colombia,Canada,N,0.29,9.28,9.28
37125,COL,CAN,2005,,25,,2008,N/A,PT6,EN,Turboprop,L,25,X,2006-2008,Colombia,Canada,N,0.6,15,15
50464,COL,CAN,2007,,8,,2009,N/A,PW100,EN,Turboprop/turboshaft,L,8,,2008-2009,Colombia,Canada,N,1,8,8
55219,COL,CAN,2012,,2,,2013,N/A,PW100,EN,Turboprop/turboshaft,L,2,,2013,Colombia,Canada,N,1,2,2
55704,COL,CAN,2013,,2,,2013,N/A,PW100,EN,Turboprop/turboshaft,L,2,,2013,Colombia,Canada,N,1,2,2
58311,CON,CAN,2014,,30,X,2014,N/A,Cobra,AV,APV,,30,X,2014,Congo,Canada,N,0.14,4.2,4.2
58230,CON,CAN,2014,,6,,2014,N/A,Cougar,AV,APC,,6,X,2014,Congo,Canada,N,0.14,0.84,0.84
51494,CZR,CAN,2009,,8,X,2011,N/A,PW100,EN,Turboprop/turboshaft,L,8,X,2011,Czech Republic,Canada,N,1,8,8
57487,DJI,CAN,2013,,2,,2014,N/A,PW100,EN,Turboprop/turboshaft,L,2,,2014,Djibouti,Canada,N,1,2,2
50584,DOM,CAN,2008,,8,X,2010,N/A,PT6,EN,Turboprop,L,8,,2009-2010,Dominican Republic,Canada,N,0.6,4.8,4.8
