tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
57969,QAT,FRG,2014,X,30,,0,N/A,Fennek MPC,AV,APV,L,,,,Qatar,Germany (FRG),N,0,0,0
30359,QAT,FRG,2013,,62,,0,N/A,Leopard-2A6,AV,Tank,L,10,X,2015,Qatar,Germany (FRG),N,5,310,50
56027,QAT,FRG,2013,,24,,0,N/A,PzH-2000 155mm,AR,Self-propelled gun,L,3,X,2015,Qatar,Germany (FRG),N,4.5,108,13.5
59173,QAT,FRG,2013,,6,X,0,N/A,Wisent,AV,AEV/ARV,L,,,,Qatar,Germany (FRG),N,2.25,13.5,0
51171,ROM,FRG,2007,X,3,X,2008,N/A,BPz-2,AV,ARV,L,3,,2008,Romania,Germany (FRG),S,0.56,1.68,1.68
27201,ROM,FRG,1998,,36,X,2009,AID,Gepard,AD,SPAAG,L,36,X,2004-2009,Romania,Germany (FRG),R,5.94,213.84,213.84
38528,RUS,FRG,2001,X,2,X,2006,N/A,MTU-4000,EN,Diesel engine,L,2,,2006,Russia,Germany (FRG),N,2,4,4
31074,SA,FRG,2008,,25,X,2009,N/A,IRIS-T,MI,SRAAM,L,25,X,2009,South Africa,Germany (FRG),N,0.2,5,5
28672,SA,FRG,1999,,4,,2007,LIC,MEKO-A200,SH,Frigate,L,4,,2006-2007,South Africa,Germany (FRG),N,250,1000,1000
54235,SA,FRG,2000,X,80,X,2008,N/A,SUT,MI,AS/ASW torpedo,L,80,X,2006-2008,South Africa,Germany (FRG),N,1.1,88,88
28654,SA,FRG,2000,,3,,2008,OFFS,Type-209/1400MOD,SH,Submarine,L,3,,2005-2008,South Africa,Germany (FRG),N,225,675,675
52828,SAU,FRG,2007,X,54,X,2009,N/A,BF-12L413,EN,Diesel engine,L,54,X,2008-2009,Saudi Arabia,Germany (FRG),N,0.12,6.48,6.48
50185,SAU,FRG,2014,,33,X,0,N/A,FPB-41,SH,Patrol craft,L,,,,Saudi Arabia,Germany (FRG),N,16.4,541.2,0
37122,SAU,FRG,2009,,1400,X,2014,N/A,IRIS-T,MI,SRAAM,L,1400,X,2010-2014,Saudi Arabia,Germany (FRG),N,0.2,280,280
54345,SAU,FRG,2010,,10,X,2012,N/A,Luna,AC,UAV,L,10,X,2011-2012,Saudi Arabia,Germany (FRG),N,0.1,1,1
58300,SAU,FRG,2006,,80,X,2011,N/A,OM-366,EN,Diesel engine,,80,X,2010-2011,Saudi Arabia,Germany (FRG),N,0.04,3.2,3.2
58301,SAU,FRG,2009,X,20,X,2011,N/A,OM-366,EN,Diesel engine,,20,X,2011,Saudi Arabia,Germany (FRG),N,0.04,0.8,0.8
58302,SAU,FRG,2011,,32,X,2014,N/A,OM-366,EN,Diesel engine,,32,X,2013-2014,Saudi Arabia,Germany (FRG),N,0.04,1.28,1.28
54541,SAU,FRG,2011,,73,X,2014,N/A,OM-924,EN,Diesel engine,L,73,X,2013-2014,Saudi Arabia,Germany (FRG),N,0.02,1.46,1.46
55805,SAU,FRG,2012,,191,X,2015,N/A,OM-924,EN,Diesel engine,L,191,X,2014-2015,Saudi Arabia,Germany (FRG),N,0.02,3.82,3.82
38809,SIN,FRG,2007,,8,X,2011,N/A,BR-710,EN,Turbofan,L,8,X,2009-2011,Singapore,Germany (FRG),N,2.5,20,20
51600,SIN,FRG,2007,X,19,X,2011,N/A,Buffel,AV,ARV,L,19,X,2010-2011,Singapore,Germany (FRG),R,1.485,28.215,28.215
31953,SIN,FRG,2007,,182,X,2012,N/A,Leopard-2A4,AV,Tank,L,182,X,2007-2012,Singapore,Germany (FRG),R,2.64,480.48,480.48
56806,SIN,FRG,2013,,16,,0,N/A,MTU-4000,EN,Diesel engine,L,,,,Singapore,Germany (FRG),N,2,32,0
36197,SIN,FRG,2000,X,24,,2009,N/A,MTU-8000,EN,Diesel engine,L,24,,2007-2009,Singapore,Germany (FRG),N,4,96,96
55390,SIN,FRG,2010,X,10,X,2013,N/A,PSB-2,AV,ABL,L,10,X,2012-2013,Singapore,Germany (FRG),R,0.825,8.25,8.25
31951,SIN,FRG,2013,,2,,0,N/A,Type-218,SH,Submarine,L,,,,Singapore,Germany (FRG),N,0,0,0
26053,SPA,FRG,1998,,16,,2006,LIC,Buffel,AV,ARV,L,16,X,2003-2006,Spain,Germany (FRG),N,2.25,36,36
35484,SPA,FRG,2005,,40,,0,LIC,DM2A4 Seehecht,MI,AS/ASW torpedo,L,,,,Spain,Germany (FRG),N,1.8,72,0
51933,SPA,FRG,2010,,12,,2013,LIC,EC135,AC,Light helicopter,L,12,X,2011-2013,Spain,Germany (FRG),N,2.25,27,27
54599,SPA,FRG,2008,X,2,,2008,N/A,EC135,AC,Light helicopter,L,2,X,2008,Spain,Germany (FRG),N,2.25,4.5,4.5
57002,SPA,FRG,2013,,8,,2014,LIC,EC135,AC,Light helicopter,L,8,X,2014,Spain,Germany (FRG),N,2.25,18,18
30769,SPA,FRG,2009,,700,,0,LIC,IRIS-T,MI,SRAAM,L,575,X,2011-2015,Spain,Germany (FRG),N,0.2,140,115
52255,SPA,FRG,2009,X,4,,2014,N/A,Lance MTS,OT,IFV turret,L,4,,2014,Spain,Germany (FRG),N,0.7,2.8,2.8
22855,SPA,FRG,1998,,219,,2013,LIC,Leopard-2A6,AV,Tank,L,219,X,2003-2013,Spain,Germany (FRG),N,5,1095,1095
38161,SPA,FRG,2004,,2,,2010,LIC,MAN-3240,EN,Diesel engine,L,2,,2010,Spain,Germany (FRG),N,3.5,7,7
58126,SPA,FRG,2015,,40,X,2015,N/A,MIM-104C PAC-2,MI,SAM,L,40,X,2015,Spain,Germany (FRG),S,0.4,16,16
36019,SPA,FRG,2003,,117,X,2013,N/A,MTU-183,EN,Diesel engine,L,117,X,2009-2013,Spain,Germany (FRG),N,0.1,11.7,11.7
51644,SPA,FRG,2007,,21,X,2014,N/A,MTU-183,EN,Diesel engine,L,21,X,2010-2014,Spain,Germany (FRG),N,0.1,2.1,2.1
38397,SPA,FRG,2004,X,12,,0,LIC,MTU-396,EN,Diesel engine,L,,,,Spain,Germany (FRG),N,0.2,2.4,0
58125,SPA,FRG,2015,,2,,2015,N/A,Patriot,AD,SAM system,L,2,,2015,Spain,Germany (FRG),S,18.8,37.6,37.6
30770,SPA,FRG,2005,,43,,2010,N/A,Taurus KEPD-350,MI,ASM,L,43,,2007-2010,Spain,Germany (FRG),N,1.4,60.2,60.2
31735,SWE,FRG,2004,X,400,X,2010,LIC,IRIS-T,MI,SRAAM,L,400,X,2009-2010,Sweden,Germany (FRG),N,0.2,80,80
55680,SWE,FRG,2013,,0,,0,LIC,IRIS-T,MI,SRAAM,L,,,,Sweden,Germany (FRG),N,0.2,0,0
37990,SWE,FRG,1995,X,10,,2008,N/A,MTU-N-90,EN,Diesel engine,L,10,,2006-2008,Sweden,Germany (FRG),N,0.35,3.5,3.5
37704,SWE,FRG,2001,,5,,0,LIC,NH-90 NFH,AC,ASW helicopter,L,1,,2015,Sweden,Germany (FRG),N,14.5,72.5,14.5
40299,SWE,FRG,2008,,6,,2012,N/A,PiPz-3 Kodiak,AV,AEV,L,6,X,2011-2012,Sweden,Germany (FRG),N,2.5,15,15
55776,SWI,FRG,2007,,1,,2007,LEAS,Beech-1900/C-12J,AC,Light transport ac,L,1,,2007,Switzerland,Germany (FRG),S,1.56,1.56,1.56
35672,SWI,FRG,2002,X,1000,X,2006,N/A,DM-702 SMART-155,MI,Guided shell,L,1000,X,2003-2006,Switzerland,Germany (FRG),N,0.04,40,40
33193,SWI,FRG,2006,,18,,2009,LIC,EC135,AC,Light helicopter,L,18,,2008-2009,Switzerland,Germany (FRG),N,2.25,40.5,40.5
33076,SWI,FRG,2007,,12,,2011,LIC,PiPz-3 Kodiak,AV,AEV,L,12,X,2009-2011,Switzerland,Germany (FRG),N,2.5,30,30
40219,TAI,FRG,2007,,90,,2011,LIC,MTU-4000,EN,Diesel engine,L,90,X,2009-2011,Taiwan (ROC),Germany (FRG),N,2,180,180
57115,THA,FRG,2013,,2,,0,N/A,ACTAS,GR,ASW sonar,L,,,,Thailand,Germany (FRG),N,0,0,0
59459,THA,FRG,2015,X,1,,0,N/A,ACTAS,GR,ASW sonar,L,,,,Thailand,Germany (FRG),N,0,0,0
59460,THA,FRG,2013,,1,,0,N/A,ASO-712,GR,ASW sonar,,,,,Thailand,Germany (FRG),N,0,0,0
59461,THA,FRG,2015,X,1,,0,N/A,ASO-712,GR,ASW sonar,,,,,Thailand,Germany (FRG),N,0,0,0
56252,THA,FRG,2013,,6,,2015,N/A,EC145,AC,Light helicopter,,6,,2015,Thailand,Germany (FRG),N,3.25,19.5,19.5
57908,THA,FRG,2014,,5,,0,N/A,EC145,AC,Light helicopter,,,,,Thailand,Germany (FRG),N,3.25,16.25,0
58233,THA,FRG,2014,,9,,0,N/A,EC145,AC,Light helicopter,,,,,Thailand,Germany (FRG),N,3.25,29.25,0
58512,THA,FRG,2015,,6,,0,VIP,EC145,AC,Light helicopter,,,,,Thailand,Germany (FRG),N,3.25,19.5,0
54611,THA,FRG,2010,,40,X,2013,N/A,IRIS-T,MI,SRAAM,L,40,X,2012-2013,Thailand,Germany (FRG),N,0.2,8,8
51060,THA,FRG,2009,,102,X,2012,N/A,MTU-6R-106,EN,Diesel engine,L,102,X,2010-2012,Thailand,Germany (FRG),N,0.06,6.12,6.12
53682,THA,FRG,2011,,142,X,0,N/A,MTU-6R-106,EN,Diesel engine,L,127,X,2012-2015,Thailand,Germany (FRG),N,0.06,8.52,7.62
54478,TRK,FRG,2010,X,10,X,2011,N/A,D-2848,EN,Diesel engine,L,10,X,2011,Turkmenistan,Germany (FRG),N,0.05,0.5,0.5
59354,TRK,FRG,2014,,12,,0,N/A,MTU-4000,EN,Diesel engine,L,2,X,2015,Turkmenistan,Germany (FRG),N,2,24,4
40205,TUR,FRG,2005,X,2,,2006,N/A,COBRA,GR,Arty locating radar,L,2,X,2006,Turkey,Germany (FRG),N,10,20,20
27404,TUR,FRG,1999,,6,,2010,LIC,Frankenthal/Type-332,SH,MCM ship,L,6,,2005-2010,Turkey,Germany (FRG),N,43,258,258
31986,TUR,FRG,2000,,4,,2008,LIC,Kiliç,SH,FAC,L,4,,2005-2008,Turkey,Germany (FRG),N,58.75,235,235
38952,TUR,FRG,2004,X,2,,2010,LIC,Kiliç,SH,FAC,L,2,,2009-2010,Turkey,Germany (FRG),N,58.75,117.5,117.5
34497,TUR,FRG,2005,,298,X,2010,N/A,Leopard-2A4,AV,Tank,L,298,X,2006-2010,Turkey,Germany (FRG),S,1.6,476.8,476.8
55952,TUR,FRG,2009,,56,,2014,N/A,Leopard-2A4,AV,Tank,L,56,X,2010-2014,Turkey,Germany (FRG),S,1.6,89.6,89.6
56292,TUR,FRG,2015,,2,X,0,N/A,MAN-3240,EN,Diesel engine,L,,,,Turkey,Germany (FRG),N,3.5,7,0
50190,TUR,FRG,2008,,4,X,2014,N/A,MTU-595,EN,Diesel engine,L,4,,2011-2014,Turkey,Germany (FRG),N,2,8,8
37078,TUR,FRG,2001,X,470,X,2013,N/A,MTU-881,EN,Diesel engine,L,470,X,2004-2013,Turkey,Germany (FRG),N,0.18,84.6,84.6
50857,TUR,FRG,2008,,70,X,0,N/A,MTU-881,EN,Diesel engine,L,22,X,2013-2015,Turkey,Germany (FRG),N,0.18,12.6,3.96
53066,TUR,FRG,2013,X,250,X,0,N/A,MTU-883,EN,Diesel engine,L,,,,Turkey,Germany (FRG),N,0.25,62.5,0
59344,TUR,FRG,2003,,40,X,0,N/A,TP400-D6,EN,Turboprop,,12,X,2014-2015,Turkey,Germany (FRG),N,3,120,36
26574,TUR,FRG,1998,,4,,2007,LIC,Type-209/1400,SH,Submarine,L,4,X,2005-2007,Turkey,Germany (FRG),N,170,680,680
31802,TUR,FRG,2011,,6,,0,LIC,Type-214,SH,Submarine,L,,,,Turkey,Germany (FRG),N,275,1650,0
59410,UAE,FRG,2015,,4,,0,N/A,BR-710,EN,Turbofan,L,,,,UAE,Germany (FRG),N,2.5,10,0
50881,UAE,FRG,2009,,3,,2010,N/A,COBRA,GR,Arty locating radar,L,3,X,2010,UAE,Germany (FRG),N,10,30,30
59199,UAE,FRG,2013,,10,X,2014,N/A,DM2A4 Seehecht,MI,AS/ASW torpedo,L,10,X,2014,UAE,Germany (FRG),N,1.8,18,18
32381,UAE,FRG,2006,,2,,2006,N/A,Frankenthal/Type-332,SH,MCM ship,L,2,,2006,UAE,Germany (FRG),S,22,44,44
55922,UAE,FRG,2009,,24,X,2015,N/A,MTU-2000,EN,Diesel engine,L,24,X,2013-2015,UAE,Germany (FRG),N,0.35,8.4,8.4
52229,UAE,FRG,2010,,4,,2013,N/A,MTU-4000,EN,Diesel engine,L,4,,2013,UAE,Germany (FRG),N,2,8,8
35982,UAE,FRG,2003,X,24,X,0,N/A,MTU-595,EN,Diesel engine,L,16,,2011-2015,UAE,Germany (FRG),N,2,48,32
37084,UAE,FRG,1993,,436,,2010,N/A,MTU-883,EN,Diesel engine,L,436,X,1994-2010,UAE,Germany (FRG),N,0.25,109,109
56868,UAE,FRG,2011,,2,,2014,N/A,Rmah,SH,Corvette/support ship,L,2,,2014,UAE,Germany (FRG),N,25,50,50
22534,UAE,FRG,2005,,32,,2009,N/A,Tpz-1 Fuchs,AV,APC,L,32,X,2007-2009,UAE,Germany (FRG),N,0.35,11.2,11.2
57970,UAE,FRG,2014,,4,,0,N/A,Wisent,AV,AEV/ARV,L,,,,UAE,Germany (FRG),N,2.25,9,0
37929,UK,FRG,1999,,10,,2007,N/A,BR-710,EN,Turbofan,L,10,X,2007,United Kingdom,Germany (FRG),N,2.5,25,25
51773,UK,FRG,2009,,23,,2010,PRIV,G-115,AC,Trainer aircraft,L,23,X,2009-2010,United Kingdom,Germany (FRG),N,0.18,4.14,4.14
57738,UK,FRG,2015,X,23,,0,N/A,G-120TP,AC,Trainer aircraft,L,,,,United Kingdom,Germany (FRG),N,0.4,9.2,0
52256,UK,FRG,2015,,245,X,0,N/A,Lance MTS,OT,IFV turret,L,,,,United Kingdom,Germany (FRG),N,0.7,171.5,0
57937,UK,FRG,2014,,589,X,0,N/A,MTU-199,EN,Diesel engine,L,,,,United Kingdom,Germany (FRG),N,0.13,76.57,0
56889,UK,FRG,2013,X,52,X,0,N/A,MTU-4000,EN,Diesel engine,L,,,,United Kingdom,Germany (FRG),N,2,104,0
59200,UK,FRG,2015,,48,,0,N/A,MTU-4000,EN,Diesel engine,L,,,,United Kingdom,Germany (FRG),N,2,96,0
53588,UK,FRG,2005,,2,,2007,N/A,RK-270,EN,Diesel engine,L,2,,2007,United Kingdom,Germany (FRG),N,2.5,5,5
40019,URU,FRG,2006,,6,,2007,N/A,Bo-105C,AC,Light helicopter,L,6,,2007,Uruguay,Germany (FRG),S,0.48,2.88,2.88
53480,USA,FRG,2009,X,15,X,2013,N/A,Do-328,AC,Transport aircraft,L,15,X,2009-2013,United States,Germany (FRG),S,3.4,51,51
35963,USA,FRG,2006,,346,X,2015,LIC,EC145,AC,Light helicopter,,346,X,2006-2015,United States,Germany (FRG),N,3.25,1124.5,1124.5
51152,USA,FRG,2008,X,5,,2010,LIC,EC145,AC,Light helicopter,,5,X,2009-2010,United States,Germany (FRG),N,3.25,16.25,16.25
57961,USA,FRG,2014,,100,X,0,LIC,EC145,AC,Light helicopter,,25,X,2015,United States,Germany (FRG),N,3.25,325,81.25
58998,USA,FRG,2015,,6,,0,PRIV,G-120TP,AC,Trainer aircraft,L,,,,United States,Germany (FRG),N,0.4,2.4,0
55206,USA,FRG,2003,X,16,X,0,N/A,MTU-1163,EN,Diesel engine,L,10,,2008-2015,United States,Germany (FRG),N,2,32,20
31092,USA,FRG,2004,,21,X,0,N/A,TRS-3D,GR,Air/sea search radar,L,10,X,2006-2015,United States,Germany (FRG),N,10,210,100
56532,VEN,FRG,2013,,8,X,0,N/A,Do-228,AC,Light transport ac,L,2,X,2014,Venezuela,Germany (FRG),N,2.25,18,4.5
57130,VEN,FRG,2013,,2,,2014,N/A,Do-228,AC,Light transport ac,L,2,,2014,Venezuela,Germany (FRG),S,0.9,1.8,1.8
51055,VEN,FRG,2006,X,32,,0,N/A,MTU-1163,EN,Diesel engine,L,28,,2009-2012,Venezuela,Germany (FRG),N,2,64,56
59574,CAN,GRE,2015,,1,,0,N/A,Asterix,SH,Cargo ship,,,,,Canada,Greece,S,30,30,0
37798,IRQ,GRE,2005,,100,,2006,AID,BMP-1,AV,IFV,L,100,,2005-2006,Iraq,Greece,S,0.36,36,36
58419,ETH,HUN,2012,X,12,X,2013,N/A,Mi-24V/Mi-35,AC,Combat helicopter,L,12,,2013,Ethiopia,Hungary,S,3.4,40.8,40.8
35970,IRQ,HUN,2005,,66,,2007,N/A,BTR-80,AV,APC,L,66,X,2007,Iraq,Hungary,S,0.14,9.24,9.24
59349,AFG,IND,2015,,4,,2015,AID,Mi-24D/Mi-25,AC,Combat helicopter,L,4,,2015,Afghanistan,India,S,3.3,13.2,13.2
56126,AFG,IND,2012,X,3,,2015,N/A,SA-315B Lama,AC,Light helicopter,L,3,,2015,Afghanistan,India,N,0.75,2.25,2.25
50339,ECU,IND,2008,,6,,2009,N/A,Druhv,AC,Helicopter,L,6,,2009,Ecuador,India,N,4.5,27,27
56370,MAU,IND,2011,,1,,2014,N/A,Barracuda,SH,OPV,L,1,,2014,Mauritius,India,N,23.5,23.5,23.5
57314,MAU,IND,2014,,1,,2014,N/A,Naidu,SH,Patrol craft,L,1,,2014,Mauritius,India,N,17.55,17.55,17.55
51890,MLV,IND,2009,,1,,2010,N/A,Druhv,AC,Helicopter,L,1,,2010,Maldives,India,N,4.5,4.5,4.5
57127,MLV,IND,2012,X,1,,2013,AID,Druhv,AC,Helicopter,L,1,,2013,Maldives,India,N,4.5,4.5,4.5
38303,MLV,IND,2006,,1,,2006,N/A,SDB Mk-5,SH,Patrol craft,L,1,,2006,Maldives,India,N,14.6,14.6,14.6
38118,MYA,IND,2005,,2,X,2006,AID,BN-2 Islander,AC,Light transport ac,L,2,,2006,Myanmar,India,S,0.24,0.48,0.48
57123,MYA,IND,2007,,5,X,2008,AID,BN-2 Maritime,AC,MP aircraft,L,5,X,2007-2008,Myanmar,India,S,1.4,7,7
56635,MYA,IND,2013,,3,,2015,N/A,HMS-X,GR,ASW sonar,L,3,X,2015,Myanmar,India,N,5,15,15
39331,MYA,IND,2006,X,10,X,2006,AID,Light Gun 105mm,AR,Towed gun,L,10,X,2006,Myanmar,India,S,0.24,2.4,2.4
56636,MYA,IND,2013,,3,,0,N/A,LW-04,GR,Air search radar,L,,,,Myanmar,India,N,6,18,0
39333,MYA,IND,2006,X,10,X,2006,AID,MPV,AV,APV,L,10,X,2006,Myanmar,India,N,0.11,1.1,1.1
39332,MYA,IND,2006,X,10,X,2006,AID,T-55,AV,Tank,L,10,X,2006,Myanmar,India,S,0.5,5,5
50409,NAM,IND,2009,,1,,2011,N/A,SA-315B Lama,AC,Light helicopter,L,1,,2011,Namibia,India,N,0.75,0.75,0.75
51438,NAM,IND,2009,,2,,2014,N/A,SA-316B Alouette-3,AC,Light helicopter,L,2,,2014,Namibia,India,N,0.9,1.8,1.8
58210,NEP,IND,2014,,1,,2014,N/A,Druhv,AC,Helicopter,L,1,,2014,Nepal,India,N,4.5,4.5,4.5
51593,NEP,IND,2009,X,24,,2011,N/A,MPV,AV,APV,L,24,,2011,Nepal,India,N,0.11,2.64,2.64
53002,SEY,IND,2012,X,1,,2013,AID,Do-228MP,AC,MP aircraft,L,1,,2013,Seychelles,India,N,3.3,3.3,3.3
59218,SEY,IND,2015,,1,,0,AID,Do-228MP,AC,MP aircraft,L,,,,Seychelles,India,N,3.3,3.3,0
59220,SEY,IND,2015,,1,,0,N/A,EL/M-2022,GR,MP aircraft radar,L,,,,Seychelles,India,N,2.5,2.5,0
58035,SEY,IND,2013,,1,,2014,AID,SDB Mk-5,SH,Patrol craft,L,1,,2014,Seychelles,India,S,5.84,5.84,5.84
39061,SRI,IND,2005,,2,,2006,AID,Indra,GR,Air search radar,L,2,,2006,Sri Lanka,India,N,4.75,9.5,9.5
39648,SRI,IND,2007,,2,,2007,AID,Indra,GR,Air search radar,L,2,,2007,Sri Lanka,India,N,4.75,9.5,9.5
58148,SRI,IND,2013,X,2,,0,N/A,Naidu,SH,Patrol craft,L,,,,Sri Lanka,India,N,17.55,35.1,0
55766,SRI,IND,1985,X,150,X,2006,N/A,Tata Diesel,EN,Diesel engine,L,150,X,1987-2006,Sri Lanka,India,N,0.01,1.5,1.5
35457,SRI,IND,2007,,1,,2007,AID,Vikram,SH,OPV,L,1,,2007,Sri Lanka,India,S,11,11,11
51230,SRI,IND,2008,,1,,2008,N/A,Vikram,SH,OPV,L,1,,2008,Sri Lanka,India,S,11,11,11
50868,SUR,IND,2009,X,3,,2015,N/A,SA-316B Alouette-3,AC,Light helicopter,L,3,,2015,Suriname,India,N,0.9,2.7,2.7
55172,XXX,IND,2012,,2,,0,N/A,Pipavav 100m,SH,OPV,L,,,,Unknown country,India,N,0,0,0
30011,MAL,INS,2002,,2,,2006,N/A,CN-235,AC,Transport aircraft,L,2,X,2005-2006,Malaysia,Indonesia,N,8.2,16.4,16.4
30335,PHI,INS,2014,,2,,0,N/A,C-212,AC,Transport aircraft,L,1,X,2015,Philippines,Indonesia,N,3.8,7.6,3.8
31876,PHI,INS,2014,,2,,0,N/A,LPD-122m,SH,AALS,L,,,,Philippines,Indonesia,N,86.15,172.3,0
53491,SEN,INS,2011,,2,,2011,N/A,CN-235,AC,Transport aircraft,L,2,,2011,Senegal,Indonesia,S,4,8,8
56230,SEN,INS,2013,X,2,X,0,N/A,CN-235,AC,Transport aircraft,L,,,,Senegal,Indonesia,N,8.2,16.4,0
55773,SRI,INS,2008,X,5,,2008,POLI,P-2,AC,APC,L,5,X,2008,Sri Lanka,Indonesia,N,0.12,0.6,0.6
57536,IRQ,IRA,2014,,7,X,2014,AID,Su-25,AC,Ground attack ac,L,7,X,2014,Iraq,Iran,S,4.6,32.2,32.2
58532,IRQ,IRA,2014,,20,X,2014,AID,Type-63 107mm,AR,Towed MRL,L,20,X,2014,Iraq,Iran,S,0.02,0.4,0.4
54066,SUD,IRA,2007,X,5,,2008,N/A,Ababil-3,AC,UAV,,5,X,2008,Sudan,Iran,N,0.2,1,1
39426,SUD,IRA,2004,X,20,X,2006,ASS,Rakhsh,AV,APC,L,20,X,2005-2006,Sudan,Iran,N,0.15,3,3
50742,SUD,IRA,2007,X,5,X,2008,N/A,Shahine,AR,Towed MRL,L,5,X,2008,Sudan,Iran,N,0.3,1.5,1.5
50818,SUD,IRA,2005,X,10,X,2006,N/A,T-72Z,AV,Tank,,10,X,2006,Sudan,Iran,N,1.33,13.3,13.3
54711,SYR,IRA,2010,X,5,X,2011,N/A,Ababil-3,AC,UAV,,5,X,2011,Syria,Iran,N,0.2,1,1
54339,SYR,IRA,2010,X,1,X,2011,N/A,C-801/C-802 CDS,GR,Coast defence system,L,1,X,2011,Syria,Iran,N,15,15,15
39824,SYR,IRA,2006,X,15,X,2011,N/A,C-802/CSS-N-8,MI,Anti-ship missile,L,15,X,2009-2011,Syria,Iran,N,1,15,15
54340,SYR,IRA,2010,X,25,X,2011,N/A,C-802/CSS-N-8,MI,Anti-ship missile,L,25,X,2011,Syria,Iran,N,1,25,25
40169,SYR,IRA,2007,X,1000,X,2014,LIC,Fateh-110,MI,SSM,L,1000,X,2008-2014,Syria,Iran,N,0.2,200,200
51065,SYR,IRA,2006,X,6,,2006,N/A,Tir,SH,FAC,L,6,,2006,Syria,Iran,N,9,54,54
57212,SYR,IRA,2012,X,5,X,2012,N/A,Yasir,AC,UAV,,5,X,2012,Syria,Iran,N,0.04,0.2,0.2
52891,VEN,IRA,2007,X,12,X,2013,LIC,Mohajer,AC,UAV,L,12,X,2012-2013,Venezuela,Iran,N,0.1,1.2,1.2
38932,XLH,IRA,2005,X,50,X,2006,AID,9M113 Konkurs/AT-5,MI,Anti-tank missile,L,50,X,2006,Hezbollah (Lebanon)*,Iran,N,0.02,1,1
25889,XLH,IRA,1980,X,500,X,2006,AID,9M14M/AT-3,MI,Anti-tank missile,L,500,X,1980-2006,Hezbollah (Lebanon)*,Iran,N,0.01,5,5
54323,XLH,IRA,2005,X,2,X,2006,N/A,Ababil-T/R,MI,SSM,L,2,X,2006,Hezbollah (Lebanon)*,Iran,N,0.1,0.2,0.2
26627,XLH,IRA,2005,X,5,X,2006,AID,C-802/CSS-N-8,MI,Anti-ship missile,L,5,X,2006,Hezbollah (Lebanon)*,Iran,N,1,5,5
56434,XXX,IRA,2012,X,10,X,2013,N/A,Misagh-2,MI,Portable SAM,L,10,X,2013,Unknown country,Iran,N,0.07,0.7,0.7
55846,AUS,IRE,1999,X,299,,2007,LIC,Bushmaster,AV,APC,L,299,X,2005-2007,Australia,Ireland,N,0.2,59.8,59.8
55847,AUS,IRE,2006,,144,,2008,LIC,Bushmaster,AV,APC,L,144,X,2007-2008,Australia,Ireland,N,0.2,28.8,28.8
55848,AUS,IRE,2007,,253,X,2010,LIC,Bushmaster,AV,APC,L,253,X,2008-2010,Australia,Ireland,N,0.2,50.6,50.6
55849,AUS,IRE,2008,,41,,2010,LIC,Bushmaster,AV,APC,L,41,X,2010,Australia,Ireland,N,0.2,8.2,8.2
55850,AUS,IRE,2011,,101,,2012,LIC,Bushmaster,AV,APC,L,101,X,2012,Australia,Ireland,N,0.2,20.2,20.2
55852,AUS,IRE,2012,,214,,2014,LIC,Bushmaster,AV,APC,L,214,X,2012-2014,Australia,Ireland,N,0.2,42.8,42.8
50494,CHE,IRE,2008,,4,,2011,N/A,AS365/AS565 Panther,AC,Helicopter,L,4,X,2008-2011,Chile,Ireland,S,1.3,5.2,5.2
34586,MAC,IRE,2011,X,4,X,2013,PLAN,Bell-206/OH-58,AC,Light helicopter,L,4,X,2013,Macedonia (FYROM),Ireland,S,0.28,1.12,1.12
59207,ANG,ISR,2015,,4,,0,N/A,Super Dvora,SH,Patrol craft,L,,,,Angola,Israel,N,5.25,21,0
51203,AST,ISR,2009,,150,,2013,LIC,ORCWS,OT,APC turret,L,150,X,2009-2013,Austria,Israel,N,0.05,7.5,7.5
36377,AUS,ISR,2009,,10,X,2009,LEAS,Heron,AC,UAV,L,10,X,2009,Australia,Israel,N,3,30,30
37462,AUS,ISR,2005,,37,,2007,N/A,Litening,GR,Aircraft EO system,L,37,X,2006-2007,Australia,Israel,N,1,37,37
57753,AUS,ISR,2007,X,10,X,2010,N/A,RecceLite,GR,Aircraft recce system,L,10,X,2009-2010,Australia,Israel,N,4,40,40
50330,AZB,ISR,2007,,4,,2008,N/A,Aerostar,AC,UAV,L,4,,2008,Azerbaijan,Israel,N,0.1,0.4,0.4
52992,AZB,ISR,2010,,10,X,2012,LIC,Aerostar,AC,UAV,L,10,X,2011-2012,Azerbaijan,Israel,N,0.1,1,1
50712,AZB,ISR,2008,,5,X,2010,N/A,ATMOS-2000 155mm,AR,Self-propelled gun,L,5,X,2010,Azerbaijan,Israel,N,1.25,6.25,6.25
54366,AZB,ISR,2011,X,1,X,0,N/A,Barak-8,AD,SAM system,L,,,,Azerbaijan,Israel,N,25,25,0
54547,AZB,ISR,2011,X,75,X,0,N/A,Barak-8,MI,SAM,L,,,,Azerbaijan,Israel,N,0.9,67.5,0
53084,AZB,ISR,2008,,10,X,2011,N/A,CARDOM 120mm,AR,Self-propelled mortar,L,10,X,2010-2011,Azerbaijan,Israel,N,0.2,2,2
54363,AZB,ISR,2011,X,2,X,0,N/A,EL/M-2080 Green Pine,GR,Air search radar,L,,,,Azerbaijan,Israel,N,17.5,35,0
